time	V(a)	V(b)	V(out)
2.444440795820647e-004	9.346089e+000	4.664768e+000	3.009321e+000
2.463972045820647e-004	8.752067e+000	4.369234e+000	3.009321e+000
2.483503295820647e-004	8.144934e+000	4.067178e+000	3.009321e+000
2.503034545820647e-004	7.533834e+000	3.763148e+000	3.009321e+000
2.522565795820647e-004	6.927969e+000	3.461722e+000	3.009321e+000
2.532331420820647e-004	6.629858e+000	3.313408e+000	3.009321e+000
2.542097045820647e-004	6.336463e+000	3.167441e+000	3.009321e+000
2.551862670820647e-004	6.048890e+000	3.024213e+000	2.977769e+000
2.561628295820647e-004	5.768222e+000	2.884094e+000	2.880546e+000
2.571393920820647e-004	5.495517e+000	2.747758e+000	2.747758e+000
2.590925170820647e-004	4.978069e+000	2.489034e+000	2.489034e+000
2.610456420820647e-004	4.504340e+000	2.252170e+000	2.252170e+000
2.629987670820647e-004	4.081466e+000	2.040733e+000	2.040733e+000
2.649518920820647e-004	3.715818e+000	1.857909e+000	1.857909e+000
2.669050170820647e-004	3.412907e+000	1.706453e+000	1.706454e+000
2.678815795820647e-004	3.286443e+000	1.643222e+000	1.643222e+000
2.688581420820647e-004	3.177299e+000	1.588649e+000	1.588650e+000
2.698347045820647e-004	3.085885e+000	1.542943e+000	1.542943e+000
2.708112670820647e-004	3.012548e+000	1.506274e+000	1.506274e+000
2.717878295820647e-004	2.957565e+000	1.478782e+000	1.478782e+000
2.727643920820647e-004	2.921143e+000	1.460572e+000	1.460572e+000
2.737409545820647e-004	2.903422e+000	1.451711e+000	1.451711e+000
2.747175170820647e-004	2.904469e+000	1.452235e+000	1.452235e+000
2.756940795820647e-004	2.924282e+000	1.462141e+000	1.462141e+000
2.766706420820647e-004	2.962787e+000	1.481394e+000	1.481394e+000
2.776472045820647e-004	3.019841e+000	1.509921e+000	1.509921e+000
2.786237670820647e-004	3.095231e+000	1.547616e+000	1.547616e+000
2.796003295820647e-004	3.188673e+000	1.594337e+000	1.594337e+000
2.805768920820647e-004	3.299818e+000	1.649909e+000	1.649909e+000
2.825300170820647e-004	3.573481e+000	1.786741e+000	1.786741e+000
2.844831420820647e-004	3.912114e+000	1.956057e+000	1.956057e+000
2.864362670820647e-004	4.310635e+000	2.155317e+000	2.155317e+000
2.883893920820647e-004	4.763057e+000	2.381529e+000	2.381529e+000
2.903425170820647e-004	5.262588e+000	2.631294e+000	2.631294e+000
2.913190795820647e-004	5.527699e+000	2.763849e+000	2.763849e+000
2.922956420820647e-004	5.801723e+000	2.900822e+000	2.892951e+000
2.932722045820647e-004	6.083630e+000	3.041517e+000	2.981959e+000
2.942487670820647e-004	6.372360e+000	3.185300e+000	3.009321e+000
2.952253295820647e-004	6.666827e+000	3.331801e+000	3.009321e+000
2.971784545820647e-004	7.268526e+000	3.631154e+000	3.009321e+000
2.991315795820647e-004	7.879685e+000	3.935213e+000	3.009321e+000
3.001081420820647e-004	8.185945e+000	4.087581e+000	3.009321e+000
3.020612670820647e-004	8.794069e+000	4.390131e+000	3.009321e+000
3.040143920820647e-004	9.388732e+000	4.685983e+000	3.009321e+000
3.059675170820647e-004	9.960998e+000	4.970692e+000	3.009321e+000
3.079206420820647e-004	1.050227e+001	5.239980e+000	3.009321e+000
3.088972045820647e-004	1.075872e+001	5.367567e+000	3.009321e+000
3.098737670820647e-004	1.100441e+001	5.489802e+000	3.009321e+000
3.108503295820647e-004	1.123842e+001	5.606227e+000	3.009321e+000
3.118268920820647e-004	1.145988e+001	5.716404e+000	3.009321e+000
3.128034545820647e-004	1.166794e+001	5.819920e+000	3.009321e+000
3.137800170820647e-004	1.186184e+001	5.916383e+000	3.009321e+000
3.147565795820647e-004	1.204083e+001	6.005433e+000	3.009321e+000
3.157331420820647e-004	1.220424e+001	6.086735e+000	3.009321e+000
3.167097045820647e-004	1.235147e+001	6.159983e+000	3.009321e+000
3.176862670820647e-004	1.248196e+001	6.224902e+000	3.009321e+000
3.186628295820647e-004	1.259522e+001	6.281248e+000	3.009321e+000
3.196393920820647e-004	1.269082e+001	6.328810e+000	3.009321e+000
3.206159545820647e-004	1.276840e+001	6.367410e+000	3.009321e+000
3.215925170820647e-004	1.282768e+001	6.396901e+000	3.009321e+000
3.225690795820647e-004	1.286843e+001	6.417175e+000	3.009321e+000
3.235456420820647e-004	1.289050e+001	6.428155e+000	3.009321e+000
3.245222045820647e-004	1.289381e+001	6.429801e+000	3.009321e+000
3.254987670820647e-004	1.287834e+001	6.422107e+000	3.009321e+000
3.264753295820647e-004	1.284416e+001	6.405102e+000	3.009321e+000
3.274518920820647e-004	1.279140e+001	6.378851e+000	3.009321e+000
3.284284545820647e-004	1.272025e+001	6.343452e+000	3.009321e+000
3.294050170820647e-004	1.263098e+001	6.299042e+000	3.009321e+000
3.303815795820647e-004	1.252394e+001	6.245785e+000	3.009321e+000
3.313581420820647e-004	1.239951e+001	6.183884e+000	3.009321e+000
3.323347045820647e-004	1.225819e+001	6.113573e+000	3.009321e+000
3.333112670820647e-004	1.210049e+001	6.035115e+000	3.009321e+000
3.342878295820647e-004	1.192701e+001	5.948808e+000	3.009321e+000
3.352643920820647e-004	1.173841e+001	5.854976e+000	3.009321e+000
3.362409545820647e-004	1.153539e+001	5.753973e+000	3.009321e+000
3.372175170820647e-004	1.131873e+001	5.646180e+000	3.009321e+000
3.381940795820647e-004	1.108923e+001	5.532002e+000	3.009321e+000
3.391706420820647e-004	1.084777e+001	5.411872e+000	3.009321e+000
3.401472045820647e-004	1.059525e+001	5.286240e+000	3.009321e+000
3.411237670820647e-004	1.033262e+001	5.155580e+000	3.009321e+000
3.430768920820647e-004	9.781045e+000	4.881164e+000	3.009321e+000
3.450300170820647e-004	9.201342e+000	4.592753e+000	3.009321e+000
3.469831420820647e-004	8.602238e+000	4.294692e+000	3.009321e+000
3.489362670820647e-004	7.992755e+000	3.991467e+000	3.009321e+000
3.508893920820647e-004	7.382066e+000	3.687641e+000	3.009321e+000
3.528425170820647e-004	6.779366e+000	3.387790e+000	3.009321e+000
3.538190795820647e-004	6.483854e+000	3.240770e+000	3.009321e+000
3.547956420820647e-004	6.193726e+000	3.096359e+000	2.995514e+000
3.557722045820647e-004	5.910072e+000	2.954928e+000	2.933353e+000
3.567487670820647e-004	5.633962e+000	2.816981e+000	2.816981e+000
3.587018920820648e-004	5.108498e+000	2.554249e+000	2.554249e+000
3.606550170820648e-004	4.625244e+000	2.312622e+000	2.312622e+000
3.626081420820648e-004	4.191477e+000	2.095738e+000	2.095738e+000
3.645612670820648e-004	3.813729e+000	1.906864e+000	1.906864e+000
3.665143920820648e-004	3.497689e+000	1.748845e+000	1.748845e+000
