time	V(a)	V(b)	V(out)	V(n002)
1.370221874922209e-004	1.128593e+001	5.629564e+000	2.949474e+000	3.640068e+000
1.379987499922209e-004	1.105917e+001	5.516740e+000	2.947480e+000	3.423022e+000
1.389753124922209e-004	1.082027e+001	5.397872e+000	2.945285e+000	3.193092e+000
1.399518749922209e-004	1.057013e+001	5.273410e+000	2.942874e+000	2.951144e+000
1.409284374922209e-004	1.030968e+001	5.143823e+000	2.940228e+000	2.698089e+000
1.428815624922209e-004	9.761854e+000	4.871242e+000	2.934136e+000	2.162504e+000
1.448346874922209e-004	9.185046e+000	4.584236e+000	2.926763e+000	1.594393e+000
1.467878124922209e-004	8.587948e+000	4.287127e+000	2.917722e+000	1.002301e+000
1.477643749922209e-004	8.284593e+000	4.136178e+000	2.912390e+000	7.000349e-001
1.487409374922209e-004	7.979555e+000	3.984387e+000	2.906368e+000	3.951337e-001
1.506940624922209e-004	7.369033e+000	3.680571e+000	2.891500e+000	-2.179771e-001
1.516706249922209e-004	7.065850e+000	3.529687e+000	2.882036e+000	-5.238791e-001
1.526471874922209e-004	6.765579e+000	3.380241e+000	2.870483e+000	-8.278093e-001
1.536237499922210e-004	6.469352e+000	3.232791e+000	2.855748e+000	-1.128624e+000
1.546003124922210e-004	6.178286e+000	3.087881e+000	2.835443e+000	-1.425190e+000
1.555768749922210e-004	5.893476e+000	2.946028e+000	2.803877e+000	-1.716393e+000
1.565534374922210e-004	5.615999e+000	2.807703e+000	2.748479e+000	-2.001135e+000
1.575299999922210e-004	5.346898e+000	2.673374e+000	2.658322e+000	-2.278346e+000
1.585065624922210e-004	5.087189e+000	2.543586e+000	2.541903e+000	-2.546981e+000
1.594831249922210e-004	4.837851e+000	2.418925e+000	2.418983e+000	-2.806031e+000
1.614362499922210e-004	4.374003e+000	2.187003e+000	2.187195e+000	-3.291510e+000
1.633893749922210e-004	3.962348e+000	1.981175e+000	1.981368e+000	-3.727482e+000
1.653424999922210e-004	3.609092e+000	1.804547e+000	1.804740e+000	-4.107389e+000
1.672956249922210e-004	3.319561e+000	1.659782e+000	1.659975e+000	-4.425517e+000
1.682721874922210e-004	3.200098e+000	1.600050e+000	1.600243e+000	-4.559880e+000
1.692487499922210e-004	3.098126e+000	1.549064e+000	1.549257e+000	-4.677081e+000
1.702253124922210e-004	3.014031e+000	1.507017e+000	1.507210e+000	-4.776679e+000
1.712018749922210e-004	2.948131e+000	1.474067e+000	1.474260e+000	-4.858298e+000
1.721784374922210e-004	2.900676e+000	1.450339e+000	1.450532e+000	-4.921631e+000
1.731549999922210e-004	2.871847e+000	1.435924e+000	1.436118e+000	-4.966441e+000
1.741315624922210e-004	2.861753e+000	1.430877e+000	1.431071e+000	-4.992558e+000
1.751081249922210e-004	2.870434e+000	1.435218e+000	1.435411e+000	-4.999885e+000
1.760846874922210e-004	2.897860e+000	1.448931e+000	1.449124e+000	-4.988392e+000
1.770612499922210e-004	2.943929e+000	1.471965e+000	1.472159e+000	-4.958125e+000
1.780378124922210e-004	3.008469e+000	1.504236e+000	1.504429e+000	-4.909196e+000
1.790143749922210e-004	3.091239e+000	1.545621e+000	1.545814e+000	-4.841791e+000
1.799909374922210e-004	3.191930e+000	1.595966e+000	1.596159e+000	-4.756162e+000
1.809674999922210e-004	3.310164e+000	1.655083e+000	1.655276e+000	-4.652631e+000
1.829206249922210e-004	3.597424e+000	1.798713e+000	1.798906e+000	-4.393492e+000
1.848737499922210e-004	3.948711e+000	1.974357e+000	1.974550e+000	-4.068271e+000
1.868268749922210e-004	4.358757e+000	2.179379e+000	2.179572e+000	-3.681859e+000
1.887799999922210e-004	4.821406e+000	2.410703e+000	2.410784e+000	-3.240068e+000
1.897565624922210e-004	5.070315e+000	2.535151e+000	2.533751e+000	-3.000452e+000
1.907331249922210e-004	5.329714e+000	2.664790e+000	2.651300e+000	-2.749543e+000
1.917096874922210e-004	5.598629e+000	2.799038e+000	2.743778e+000	-2.488286e+000
1.926862499922210e-004	5.876048e+000	2.937344e+000	2.801265e+000	-2.217664e+000
1.936628124922210e-004	6.160929e+000	3.079237e+000	2.833883e+000	-1.938694e+000
1.946393749922210e-004	6.452200e+000	3.224252e+000	2.854730e+000	-1.652428e+000
1.956159374922210e-004	6.748768e+000	3.371874e+000	2.869848e+000	-1.359942e+000
1.965924999922210e-004	7.049517e+000	3.521559e+000	2.881574e+000	-1.062338e+000
1.985456249922210e-004	7.659027e+000	3.824885e+000	2.899137e+000	-4.562697e-001
1.995221874922210e-004	7.965497e+000	3.977392e+000	2.906078e+000	-1.500867e-001
2.004987499922210e-004	8.271575e+000	4.129700e+000	2.912151e+000	1.566613e-001
2.024518749922210e-004	8.877960e+000	4.431434e+000	2.922324e+000	7.672360e-001
2.044049999922210e-004	9.469074e+000	4.725562e+000	2.930534e+000	1.366271e+000
2.063581249922210e-004	1.003604e+001	5.007668e+000	2.937281e+000	1.944756e+000
2.073346874922210e-004	1.030779e+001	5.142879e+000	2.940208e+000	2.223557e+000
2.083112499922210e-004	1.057034e+001	5.273516e+000	2.942876e+000	2.493989e+000
2.092878124922210e-004	1.082271e+001	5.399086e+000	2.945308e+000	2.755035e+000
2.102643749922210e-004	1.106395e+001	5.519117e+000	2.947523e+000	3.005711e+000
2.112409374922210e-004	1.129316e+001	5.633159e+000	2.949536e+000	3.245075e+000
2.122174999922210e-004	1.150946e+001	5.740784e+000	2.951361e+000	3.472224e+000
2.131940624922210e-004	1.171206e+001	5.841586e+000	2.953010e+000	3.686306e+000
2.141706249922210e-004	1.190018e+001	5.935188e+000	2.954492e+000	3.886512e+000
2.151471874922210e-004	1.207313e+001	6.021238e+000	2.955815e+000	4.072091e+000
2.161237499922210e-004	1.223025e+001	6.099414e+000	2.956986e+000	4.242343e+000
2.171003124922210e-004	1.237095e+001	6.169420e+000	2.958011e+000	4.396628e+000
2.180768749922210e-004	1.249471e+001	6.230996e+000	2.958894e+000	4.534366e+000
2.190534374922210e-004	1.260106e+001	6.283909e+000	2.959641e+000	4.655036e+000
2.200299999922210e-004	1.268960e+001	6.327962e+000	2.960254e+000	4.758186e+000
2.210065624922210e-004	1.276000e+001	6.362990e+000	2.960735e+000	4.843428e+000
2.219831249922210e-004	1.281200e+001	6.388861e+000	2.961088e+000	4.910440e+000
2.229596874922210e-004	1.284540e+001	6.405478e+000	2.961313e+000	4.958970e+000
2.239362499922210e-004	1.286008e+001	6.412781e+000	2.961411e+000	4.988836e+000
2.249128124922210e-004	1.285598e+001	6.410742e+000	2.961384e+000	4.999925e+000
2.258893749922210e-004	1.283312e+001	6.399370e+000	2.961230e+000	4.992195e+000
2.268659374922210e-004	1.279159e+001	6.378707e+000	2.960950e+000	4.965676e+000
2.278424999922210e-004	1.273155e+001	6.348834e+000	2.960541e+000	4.920467e+000
2.288190624922210e-004	1.265322e+001	6.309862e+000	2.960003e+000	4.856739e+000
2.297956249922210e-004	1.255690e+001	6.261939e+000	2.959332e+000	4.774731e+000
2.307721874922210e-004	1.244296e+001	6.205246e+000	2.958527e+000	4.674752e+000
2.317487499922210e-004	1.231182e+001	6.139998e+000	2.957583e+000	4.557178e+000
2.327253124922210e-004	1.216398e+001	6.066441e+000	2.956496e+000	4.422452e+000
2.337018749922210e-004	1.200000e+001	5.984851e+000	2.955260e+000	4.271081e+000
2.346784374922210e-004	1.182049e+001	5.895537e+000	2.953870e+000	4.103634e+000
