#v1	V(vd)	Vvd
#simulazione con valori ricavati da analisi circuito 1 con generatore in dc da 0 a 10 Volt
#si trova la v_on con doppio fit
4.72999999999994	0.4766328	476.6328
4.73999999999994	0.4769093	476.9093
4.74999999999994	0.4771844	477.1844
4.75999999999994	0.4774583	477.4583
4.76999999999994	0.4777308	477.7308
4.77999999999994	0.4780022	478.0022
4.78999999999994	0.4782722	478.2722
4.79999999999994	0.478541	478.541
4.80999999999994	0.4788086	478.8086
4.81999999999994	0.4790749	479.0749
4.82999999999994	0.47934	479.34
4.83999999999994	0.479604	479.604
4.84999999999994	0.4798667	479.8667
4.85999999999994	0.4801282	480.1282
4.86999999999994	0.4803886	480.3886
4.87999999999994	0.4806478	480.6478
4.88999999999994	0.4809058	480.9058
4.89999999999994	0.4811627	481.1627
4.90999999999994	0.4814184	481.4184
4.91999999999994	0.481673	481.673
4.92999999999994	0.4819264	481.9264
4.93999999999994	0.4821788	482.1788
4.94999999999994	0.4824301	482.4301
4.95999999999994	0.4826802	482.6802
4.96999999999994	0.4829293	482.9293
4.97999999999994	0.4831772	483.1772
4.98999999999994	0.4834242	483.4242
4.99999999999994	0.48367	483.67
5.00999999999994	0.4839148	483.9148
5.01999999999994	0.4841585	484.1585
5.02999999999994	0.4844013	484.4013
5.03999999999994	0.4846429	484.6429
5.04999999999994	0.4848836	484.8836
5.05999999999994	0.4851232	485.1232
5.06999999999994	0.4853618	485.3618
5.07999999999994	0.4855994	485.5994
5.08999999999994	0.4858361	485.8361
5.09999999999994	0.4860717	486.0717
5.10999999999994	0.4863064	486.3064
5.11999999999994	0.48654	486.54
5.12999999999994	0.4867728	486.7728
5.13999999999994	0.4870045	487.0045
5.14999999999993	0.4872354	487.2354
5.15999999999993	0.4874652	487.4652
5.16999999999993	0.4876942	487.6942
5.17999999999993	0.4879222	487.9222
5.18999999999993	0.4881493	488.1493
5.19999999999993	0.4883755	488.3755
5.20999999999993	0.4886007	488.6007
5.21999999999993	0.4888251	488.8251
5.22999999999993	0.4890485	489.0485
5.23999999999993	0.4892711	489.2711
5.24999999999993	0.4894928	489.4928
5.25999999999993	0.4897136	489.7136
5.26999999999993	0.4899336	489.9336
5.27999999999993	0.4901527	490.1527
5.28999999999993	0.4903709	490.3709
5.29999999999993	0.4905882	490.5882
5.30999999999993	0.4908048	490.8048
5.31999999999993	0.4910204	491.0204
5.32999999999993	0.4912353	491.2353
5.33999999999993	0.4914493	491.4493
5.34999999999993	0.4916625	491.6625
5.35999999999993	0.4918749	491.8749
5.36999999999993	0.4920865	492.0865
5.37999999999993	0.4922973	492.2973
5.38999999999993	0.4925072	492.5072
5.39999999999993	0.4927164	492.7164
5.40999999999993	0.4929248	492.9248
5.41999999999993	0.4931324	493.1324
5.42999999999993	0.4933392	493.3392
5.43999999999993	0.4935453	493.5453
5.44999999999993	0.4937505	493.7505
5.45999999999993	0.493955	493.955
5.46999999999993	0.4941588	494.1588
5.47999999999993	0.4943618	494.3618
5.48999999999993	0.4945641	494.5641
5.49999999999993	0.4947656	494.7656
5.50999999999993	0.4949664	494.9664
5.51999999999993	0.4951665	495.1665
5.52999999999993	0.4953658	495.3658
5.53999999999993	0.4955644	495.5644
5.54999999999993	0.4957623	495.7623
5.55999999999993	0.4959595	495.9595
5.56999999999993	0.4961559	496.1559
5.57999999999993	0.4963517	496.3517
5.58999999999993	0.4965468	496.5468
5.59999999999993	0.4967411	496.7411
5.60999999999993	0.4969348	496.9348
5.61999999999992	0.4971278	497.1278
5.62999999999992	0.4973201	497.3201
5.63999999999992	0.4975118	497.5118
5.64999999999992	0.4977027	497.7027
5.65999999999992	0.4978931	497.8931
5.66999999999992	0.4980827	498.0827
5.67999999999992	0.4982717	498.2717
5.68999999999992	0.49846	498.46
5.69999999999992	0.4986477	498.6477
5.70999999999992	0.4988347	498.8347
5.71999999999992	0.4990211	499.0211
5.72999999999992	0.4992068	499.2068
5.73999999999992	0.4993919	499.3919
5.74999999999992	0.4995764	499.5764
5.75999999999992	0.4997603	499.7603
5.76999999999992	0.4999435	499.9435
5.77999999999992	0.5001261	500.1261
5.78999999999992	0.5003082	500.3082
5.79999999999992	0.5004895	500.4895
5.80999999999992	0.5006703	500.6703
5.81999999999992	0.5008505	500.8505
5.82999999999992	0.5010301	501.0301
5.83999999999992	0.5012091	501.2091
5.84999999999992	0.5013875	501.3875
