time	V(vd)
2.482355625135845e-002	1.566191e-001
2.485285312635845e-002	1.307570e-001
2.488215000135845e-002	1.048089e-001
2.491144687635845e-002	7.880104e-002
2.497004062635845e-002	2.667776e-002
2.505793125135845e-002	-5.158603e-002
2.512489553707274e-002	-1.113908e-001
2.519185982278703e-002	-1.707384e-001
2.525882410850132e-002	-2.296289e-001
2.532578839421561e-002	-2.880622e-001
2.539275267992990e-002	-3.460384e-001
2.545971696564418e-002	-4.035574e-001
2.552668125135847e-002	-4.606193e-001
2.564805401921562e-002	-5.627512e-001
2.576942678707277e-002	-6.602738e-001
2.589079955492991e-002	-7.531873e-001
2.601217232278706e-002	-8.414916e-001
2.613354509064421e-002	-9.251866e-001
2.625491785850136e-002	-1.004272e+000
2.637629062635850e-002	-1.078749e+000
2.662322142992994e-002	-1.210931e+000
2.687015223350138e-002	-1.310376e+000
2.711708303707282e-002	-1.377083e+000
2.736401384064426e-002	-1.411052e+000
2.761094464421569e-002	-1.412284e+000
2.785787544778713e-002	-1.380777e+000
2.810480625135857e-002	-1.316534e+000
2.825129062635857e-002	-1.260946e+000
2.839777500135858e-002	-1.196280e+000
2.854425937635859e-002	-1.122536e+000
2.869074375135859e-002	-1.039713e+000
2.883722812635860e-002	-9.478126e-001
2.898371250135860e-002	-8.468334e-001
2.913019687635861e-002	-7.367758e-001
2.917623482278718e-002	-7.013604e-001
2.922227276921575e-002	-6.654345e-001
2.926831071564433e-002	-6.289982e-001
2.931434866207290e-002	-5.920515e-001
2.936038660850147e-002	-5.545944e-001
2.940642455493005e-002	-5.166269e-001
2.945246250135862e-002	-4.781490e-001
2.948175937635862e-002	-4.535022e-001
2.954453839421577e-002	-3.999682e-001
2.960731741207291e-002	-3.460237e-001
2.967009642993006e-002	-2.916689e-001
2.973287544778720e-002	-2.369036e-001
2.979565446564435e-002	-1.817280e-001
2.985843348350149e-002	-1.261420e-001
2.992121250135864e-002	-7.014561e-002
2.997980625135864e-002	-1.798526e-002
3.000000000000000e-002	1.662930e-014
